Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,CB,105,86,51,0,0,0,0,0,60,40,22,9,0,0,0,0,3,2,0,0,7,30,14,12,1,0,0,3,2,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,2,0,0,0,14,3,2,0,37,34,19,1,1,0,0,0,0,0,0,1,1,0,0,0
Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-26,RCB,96,59,42,0,0,1,0,0.06,44,34,17,7,0,0,0,0,4,1,0,0,0,11,2,9,0,0,0,0,0,3,1,0,0,2,0,0,0,1,1,0,1,0,2,0,0,0,0.01,0,13,7,0,0,25,26,17,2,2,0,0,0,0,0,0,0,0,0,0,0
DePaul Blue Demons - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-22,RCB,100,65,43,0,0,0,0,0,46,32,13,6,0,0,0,0,5,2,1,0,4,10,5,10,1,0,0,3,1,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.21,0,5,2,2,0,26,30,18,1,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),2025-10-18,RCB,101,73,45,0,0,1,0,0.08,47,33,27,16,1,0,0,0,9,5,4,2,5,22,8,18,0,0,0,3,2,1,1,0,0,7,1,0,0,2,1,0,2,0,0,0,3,1,0.21,0,11,5,3,1,22,33,21,2,2,0,0,0,0,0,0,2,2,0,0,0
Butler Bulldogs - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),2025-10-16,RCB,100,51,38,0,0,0,0,0,34,27,11,6,0,0,0,0,6,5,1,0,0,9,6,5,1,0,0,5,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,3,2,0,22,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Marquette Golden Eagles 2:2,United States. NCAA D1 Big East (W),2025-10-12,RCB,102,80,53,0,0,0,0,0,57,46,22,14,0,0,0,0,11,2,3,0,4,14,5,18,2,0,0,4,2,2,0,0,0,5,0,0,0,1,2,0,0,0,1,0,0,0,0.12,0,13,6,0,0,35,31,23,5,4,0,0,0,0,0,0,4,4,0,0,0
UCONN Huskies - Creighton Bluejays 1:0,United States. NCAA D1 Big East (W),2025-10-05,LCB,103,81,56,1,0,1,1,0.12,43,34,15,6,1,1,0,0,10,7,3,2,5,20,9,14,0,0,0,5,5,1,0,0,0,15,0,0,0,0,1,0,0,0,2,0,1,0,0,0,11,5,3,1,26,21,12,1,1,0,0,0,0,0,0,1,1,0,0,0
Providence Friars - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-02,LCB,95,72,50,0,0,0,0,0,47,38,13,8,0,0,0,0,9,5,4,1,4,12,6,15,2,0,0,5,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,17,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgetown Hoyas - UCONN Huskies 2:0,United States. NCAA D1 Big East (W),2025-09-27,LCB,95,80,50,0,0,0,0,0,55,37,26,11,0,0,0,0,11,8,1,0,7,15,8,15,0,0,0,8,6,0,0,0,0,6,0,0,0,0,2,2,0,0,1,0,1,0,0,0,4,0,1,0,26,33,19,0,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,RCB,98,49,32,0,0,0,0,0,27,19,9,5,0,0,0,0,8,7,3,3,5,14,11,15,1,0,0,5,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,7,15,9,3,2,0,0,0,0,0,0,2,2,0,0,0
