Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,AMF,87,50,24,0,0,0,0,0,24,17,1,1,0,0,2,1,17,7,4,3,3,15,1,7,6,37,0,3,2,3,0,0,0,0,2,1,0,0,7,2,0,0,1,0,1,0,0,0,5,1,1,0,14,4,1,7,6,0,0,0,0,0,0,1,1,0,0,0
Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-26,AMF,81,66,39,0,0,2,0,0.01,29,26,3,2,0,0,6,3,26,13,4,4,5,14,2,14,13,0,0,5,4,4,2,0,0,1,0,0,0,0,13,3,1,0,2,0,0,0,0,0,4,2,1,1,14,6,4,8,8,0,0,0,0,0,0,0,0,0,0,0
DePaul Blue Demons - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-22,"LCMF, RCMF",93,77,39,0,0,2,0,0.22,31,23,3,0,1,0,3,1,38,16,5,3,2,19,3,10,7,0,0,9,8,4,1,0,0,0,0,0,0,0,20,4,3,0,4,1,0,0,0,0,7,2,2,0,18,6,2,10,9,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),2025-10-18,AMF,90,55,33,0,0,2,1,0.27,33,21,4,0,3,0,4,4,17,10,8,3,2,12,5,6,4,0,0,2,2,2,1,0,0,1,1,0,0,1,5,4,3,0,5,0,0,0,0.05,0,3,1,2,1,23,11,6,7,7,0,0,0,0,0,0,0,0,0,0,0
Butler Bulldogs - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),2025-10-16,LCMF,100,52,20,0,0,1,0,0.02,21,10,3,1,2,0,2,0,24,10,5,0,2,13,4,8,5,0,0,12,8,1,0,0,0,0,1,0,0,1,6,2,1,0,0,1,0,0,0.09,0,2,1,2,0,12,8,2,3,3,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Marquette Golden Eagles 2:2,United States. NCAA D1 Big East (W),2025-10-12,"LCMF3, RCMF3",99,66,29,0,0,1,0,0.02,24,17,2,1,1,1,1,0,28,11,4,1,6,18,3,9,6,0,0,13,10,2,0,0,0,2,3,0,0,1,9,0,1,0,4,0,1,1,0.05,0,7,3,3,3,14,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Creighton Bluejays 1:0,United States. NCAA D1 Big East (W),2025-10-05,DMF,100,57,30,0,0,0,0,0,17,10,2,1,1,1,2,2,37,20,15,7,2,16,6,11,6,0,0,8,7,3,1,0,0,0,1,0,0,1,11,5,0,0,0,3,0,0,0.06,0,4,3,2,2,10,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0
Providence Friars - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-02,AMF,76,68,33,0,0,0,0,0,31,19,5,1,2,0,2,0,33,14,3,1,2,16,7,8,7,0,0,9,7,5,3,0,0,1,0,0,0,0,16,3,0,1,0,2,0,0,0,0,5,2,3,0,15,11,5,5,4,0,0,0,0,0,0,0,0,0,0,0
Georgetown Hoyas - UCONN Huskies 2:0,United States. NCAA D1 Big East (W),2025-09-27,RCB,95,58,41,0,0,0,0,0,32,26,7,6,0,0,1,1,18,13,3,2,5,10,6,12,0,0,0,11,9,2,1,2,2,3,2,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,17,17,12,2,2,0,0,0,0,0,0,1,1,0,0,0
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,AMF,82,45,25,0,0,0,0,0,19,14,1,0,0,0,2,1,21,11,3,2,0,7,4,7,3,0,0,6,6,3,0,1,1,1,1,0,0,0,9,3,1,0,0,1,0,0,0,0,3,2,1,0,10,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - St John's Red Storm 2:0,United States. NCAA D1 Big East (W),2025-09-21,AMF,83,52,29,0,0,1,0,0.14,26,23,2,2,0,0,2,1,19,6,1,1,4,13,3,6,3,0,0,7,2,2,1,0,0,1,3,0,0,0,9,2,1,0,2,0,0,0,0,0,6,4,3,3,14,12,10,5,5,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Maine Blackbears 3:1,United States. NCAA D1 Non-conference matches (W),2025-09-14,"AMF, LDMF",72,46,27,0,1,1,0,0.04,20,15,2,1,0,0,2,0,23,12,1,0,2,11,5,14,8,0,0,15,11,2,1,0,0,0,0,0,0,1,5,0,1,0,0,0,1,0,0.32,0,4,3,3,2,9,9,7,7,6,0,0,0,0,0,0,0,0,0,0,0
Rhode Island Rhody - UCONN Huskies 0:2,United States. NCAA D1 Non-conference matches (W),2025-09-12,LAMF,80,68,46,0,0,0,0,0,37,32,1,1,0,0,3,0,28,14,4,2,2,9,2,16,4,0,0,12,9,4,3,1,0,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,3,1,1,1,13,13,8,6,6,0,0,0,0,0,0,1,1,0,0,0
Yale Bulldogs - UCONN Huskies 0:1,United States. NCAA D1 Non-conference matches (W),2025-09-05,"AMF, LDMF",86,61,38,1,0,1,1,0.03,26,21,1,1,1,0,4,1,28,16,2,1,1,12,2,8,2,0,0,12,9,2,1,1,1,0,1,0,0,1,12,5,1,0,0,3,1,1,0.16,0,6,6,1,0,22,12,10,5,5,0,0,0,0,0,0,1,1,0,0,0
Rutgers Scarlet Knights - UCONN Huskies 0:0,United States. NCAA D1 Non-conference matches (W),2025-08-31,AMF,88,39,22,0,0,1,1,0.02,19,15,1,0,0,0,1,0,14,6,0,0,2,5,2,5,5,63,0,2,2,0,0,0,0,0,0,1,0,1,12,4,2,1,1,1,1,1,0.12,0,2,1,2,2,8,6,3,5,5,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Brown Bears 0:1,United States. NCAA D1 Non-conference matches (W),2025-08-29,"LDMF, LWB",73,68,34,0,0,0,0,0,30,23,2,1,1,0,5,1,28,11,3,2,8,11,6,14,4,0,0,9,7,3,0,0,0,3,1,0,0,0,13,2,0,0,1,0,0,0,0,0,5,4,0,0,14,11,6,4,3,0,0,0,0,0,0,1,1,0,0,0
Texas A&M Aggies - UCONN Huskies 2:1,United States. NCAA D1 Non-conference matches (W),2025-08-24,RDMF,37,15,11,0,0,1,0,0,10,8,1,0,0,0,0,0,4,3,0,0,0,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,6,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0
