Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,"RCB3, RWB",60,40,14,0,0,0,0,0,23,9,2,0,2,0,1,0,13,5,1,0,4,15,4,4,1,0,0,5,2,3,1,0,0,2,0,0,0,1,4,2,0,0,1,1,1,0,0.26,0,7,2,2,0,15,13,4,4,3,0,0,0,0,0,0,0,0,0,0,0
Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-26,"LB, RB",81,66,34,0,1,0,0,0,45,27,7,2,7,3,5,3,17,7,4,2,2,15,3,12,5,0,0,2,1,3,1,0,0,1,0,0,0,2,8,3,0,0,2,0,0,0,0.37,0,12,5,5,3,23,19,9,3,3,0,0,0,0,0,0,0,0,0,0,0
DePaul Blue Demons - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-22,LB,100,98,53,0,0,1,0,0,56,34,16,7,3,0,6,3,30,18,1,0,11,29,12,16,3,0,0,8,6,3,2,0,0,3,1,0,0,0,18,10,2,0,1,5,0,0,0,0,15,9,5,1,31,30,15,5,4,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),2025-10-18,LB,101,74,33,0,0,0,0,0,28,15,9,1,0,0,1,1,31,16,11,6,10,21,7,17,0,0,0,16,9,1,0,0,0,9,1,0,0,0,3,1,0,0,0,0,3,0,0,0,11,4,2,0,12,21,10,2,2,0,0,0,0,0,0,1,1,0,0,0
Butler Bulldogs - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),2025-10-16,LB,27,18,6,0,1,0,0,0,9,3,2,1,0,0,0,0,5,3,0,0,1,5,3,4,1,0,0,4,2,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0.11,0,2,1,0,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Creighton Bluejays 1:0,United States. NCAA D1 Big East (W),2025-10-05,RB,17,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,3,2,0,2,2,4,0,0,0,6,6,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Providence Friars - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-02,RB,21,20,10,0,0,0,0,0,13,8,2,1,1,0,1,1,4,2,1,0,1,3,1,4,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,1,2,0,8,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0
Georgetown Hoyas - UCONN Huskies 2:0,United States. NCAA D1 Big East (W),2025-09-27,RAMF,18,7,1,0,0,0,0,0,2,1,1,0,0,0,0,0,4,0,0,0,0,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,0,7,8,4,0,0,0,0,0,3,1,1,0,1,0,0,0,4,3,0,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Maine Blackbears 3:1,United States. NCAA D1 Non-conference matches (W),2025-09-14,LAMF,46,40,20,0,0,0,0,0,16,11,0,0,2,0,1,1,20,9,1,0,4,14,4,3,3,0,0,6,5,4,1,0,0,0,0,0,0,0,9,3,1,1,0,1,0,0,0,0,1,1,3,0,6,4,2,3,3,0,0,0,0,0,0,0,0,0,0,0
