Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),2025-10-18,CF,16,12,4,0,0,2,1,0.04,3,1,3,1,0,0,2,1,6,2,1,0,0,1,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,3,1,1,0,0,0,1,1,0.06,0,3,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Creighton Bluejays 1:0,United States. NCAA D1 Big East (W),2025-10-05,CF,23,17,5,0,0,2,1,0.04,4,2,0,0,1,0,1,1,11,2,2,0,0,4,0,1,1,0,0,2,1,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Providence Friars - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-02,0,5,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgetown Hoyas - UCONN Huskies 2:0,United States. NCAA D1 Big East (W),2025-09-27,CF,43,18,10,0,0,0,0,0,9,6,1,0,1,0,0,0,9,4,4,1,0,7,0,0,0,0,0,4,3,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,7,2,1,5,4,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,CF,39,26,5,0,0,0,0,0,6,2,0,0,1,0,0,0,17,3,4,0,0,6,2,0,0,0,0,5,3,1,0,0,0,0,1,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - St John's Red Storm 2:0,United States. NCAA D1 Big East (W),2025-09-21,CF,45,39,10,0,0,0,0,0,10,5,2,2,1,0,2,1,20,5,3,1,2,11,2,1,0,0,0,1,0,1,0,1,0,1,2,0,0,0,15,4,2,0,1,2,0,0,0,0,2,1,0,0,8,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0
Rhode Island Rhody - UCONN Huskies 0:2,United States. NCAA D1 Non-conference matches (W),2025-09-12,CF,19,15,7,0,1,0,0,0,7,4,1,0,3,1,3,3,8,3,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,1,0,0,0,0.31,0,1,1,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Yale Bulldogs - UCONN Huskies 0:1,United States. NCAA D1 Non-conference matches (W),2025-09-05,CF,63,57,22,0,0,2,0,0.05,21,12,2,2,5,0,1,1,25,9,3,0,0,9,0,2,0,0,0,5,3,4,1,0,0,0,1,0,0,0,13,5,3,1,5,2,0,0,0,0,5,3,2,0,9,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Rutgers Scarlet Knights - UCONN Huskies 0:0,United States. NCAA D1 Non-conference matches (W),2025-08-31,CF,48,31,10,0,0,1,0,0.17,17,8,1,1,3,1,0,0,7,2,0,0,0,9,2,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,3,1,1,1,0,0,0,0,0,0,2,1,2,0,9,6,2,5,3,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Brown Bears 0:1,United States. NCAA D1 Non-conference matches (W),2025-08-29,"CF, LAMF",51,37,16,0,0,0,0,0,15,9,3,0,3,1,2,0,18,7,1,1,2,7,2,3,0,0,0,5,3,2,1,1,1,0,0,0,0,0,10,2,0,0,0,1,1,0,0,0,1,0,2,0,9,5,1,3,2,0,0,0,0,0,0,0,0,0,0,0
Texas A&M Aggies - UCONN Huskies 2:1,United States. NCAA D1 Non-conference matches (W),2025-08-24,"CF, LAMF",61,39,21,0,0,1,0,0,22,15,1,0,3,1,3,2,13,6,1,0,2,8,3,3,3,0,0,1,1,3,2,0,0,0,0,0,0,0,8,3,1,1,1,3,0,0,0,0,1,0,2,1,12,2,1,8,7,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Stony Brook Seawolves 1:0,United States. NCAA D1 Non-conference matches (W),2025-08-18,CF,47,32,15,0,0,3,0,0.11,14,8,0,0,4,1,5,2,14,7,1,1,1,7,0,2,2,0,0,1,1,5,3,0,0,0,0,0,0,1,7,2,2,0,0,1,0,0,0.04,0,1,0,3,0,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
