Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,"AMF, CF",86,49,24,0,0,1,1,0.06,27,15,3,0,1,0,1,1,15,6,3,1,4,11,3,4,4,0,0,0,0,3,1,0,0,1,0,0,0,0,9,4,1,0,2,2,0,0,0,0,3,1,1,0,13,7,2,4,4,0,0,0,0,0,0,0,0,0,0,0
Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-26,"CF, LAMF",82,54,22,0,0,4,1,0.42,22,13,1,0,3,1,5,2,20,8,6,3,1,12,2,5,5,0,0,1,1,4,2,0,0,0,0,0,0,2,9,2,8,0,1,1,1,0,0.2,0,1,0,1,1,11,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0
DePaul Blue Demons - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-22,"CF, LW",100,81,44,1,0,5,2,0.41,32,22,0,0,3,2,7,6,34,19,5,2,6,15,3,12,12,0,0,4,4,7,3,1,1,1,0,0,0,2,18,10,6,0,5,1,0,0,0.18,0,1,1,5,3,20,7,2,8,8,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),2025-10-18,"CF, LAMF",93,65,40,0,1,2,0,0.07,33,27,2,2,2,0,12,7,26,12,2,1,4,9,4,3,2,0,0,2,1,0,0,0,0,1,0,0,0,2,22,10,1,0,8,3,1,1,0.87,0,6,4,1,1,16,7,4,7,7,0,0,0,0,0,0,0,0,0,0,0
Butler Bulldogs - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),2025-10-16,CF,100,55,24,1,0,2,1,0.65,30,18,2,0,4,2,2,1,14,4,1,1,4,16,1,6,5,0,0,3,1,4,1,0,0,0,2,0,0,0,6,1,3,1,3,1,0,0,0,0,6,2,3,0,17,12,7,4,4,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Marquette Golden Eagles 2:2,United States. NCAA D1 Big East (W),2025-10-12,"CF, LWF",102,65,36,2,0,8,4,1.36,26,13,2,0,2,0,7,5,24,17,3,2,4,15,3,8,6,0,0,4,4,2,1,1,1,1,1,0,0,0,15,10,7,0,3,1,0,0,0,0,0,0,3,1,22,2,1,7,5,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Creighton Bluejays 1:0,United States. NCAA D1 Big East (W),2025-10-05,"AMF, CF",103,55,26,0,0,2,1,0.06,22,13,0,0,5,2,3,2,25,12,10,6,3,13,3,7,7,0,0,0,0,2,1,0,0,2,0,0,0,4,13,5,2,0,4,1,0,0,0.11,0,3,2,5,3,11,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0
Providence Friars - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-02,"CF, LAMF",89,49,24,1,0,3,1,0.2,28,18,1,0,3,1,1,1,14,5,0,0,2,13,2,1,0,0,0,4,2,4,1,0,0,0,0,0,0,1,6,2,3,0,1,0,0,0,0.15,0,2,2,2,2,19,7,3,9,6,0,0,0,0,0,0,0,0,0,0,0
Georgetown Hoyas - UCONN Huskies 2:0,United States. NCAA D1 Big East (W),2025-09-27,LAMF,95,70,34,0,0,1,0,0,36,24,3,1,2,1,2,1,23,9,6,3,4,14,5,7,2,0,0,3,2,4,2,0,0,3,1,0,0,0,10,2,0,1,0,0,1,0,0,0,2,0,4,2,25,9,3,14,13,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,"AMF, CF",98,61,25,0,0,3,0,0.13,23,15,4,3,2,0,4,4,27,10,7,4,0,15,1,0,0,46,0,2,0,1,0,1,0,0,2,1,0,0,17,6,1,0,2,3,1,1,0,0,4,2,2,0,9,6,4,7,7,0,0,0,0,0,0,0,0,0,0,0
