Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,"LWB, RWB",60,28,17,0,0,0,0,0,13,8,2,1,0,0,0,0,14,9,1,0,2,6,3,4,3,0,0,10,9,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,6,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0
Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-26,RAMF,36,26,12,0,0,2,1,0.46,10,5,2,1,4,1,1,1,12,6,1,0,1,4,0,1,1,0,0,0,0,4,2,0,0,0,1,0,0,1,7,4,4,0,1,2,0,0,0.01,0,1,0,3,1,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
DePaul Blue Demons - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-22,RW,39,15,7,0,0,1,1,0.18,4,4,0,0,0,0,0,0,7,2,0,0,1,2,0,1,1,0,0,4,2,1,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),2025-10-18,RAMF,17,5,3,0,0,0,0,0,3,2,0,0,0,0,2,1,2,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler Bulldogs - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),2025-10-16,0,23,18,8,0,0,0,0,0,4,1,1,0,2,0,1,1,12,7,1,0,1,6,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,8,4,0,0,1,2,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Marquette Golden Eagles 2:2,United States. NCAA D1 Big East (W),2025-10-12,LWF,28,23,9,0,0,0,0,0,8,5,0,0,0,0,1,0,12,4,2,1,3,9,4,2,1,0,0,1,0,2,0,0,0,0,1,0,0,1,7,3,0,0,0,1,0,0,0.14,0,0,0,1,1,5,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Creighton Bluejays 1:0,United States. NCAA D1 Big East (W),2025-10-05,AMF,31,18,9,0,0,0,0,0,11,7,0,0,1,0,0,0,6,2,1,0,1,4,0,2,1,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,8,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0
Providence Friars - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-02,RAMF,43,37,12,0,0,1,0,0,19,9,1,1,2,0,3,0,14,3,1,0,2,9,2,5,3,0,0,6,2,2,1,0,0,0,1,0,0,0,5,0,1,0,1,0,0,0,0,0,4,2,1,0,12,7,3,4,4,0,0,0,0,0,0,0,0,0,0,0
Georgetown Hoyas - UCONN Huskies 2:0,United States. NCAA D1 Big East (W),2025-09-27,RAMF,56,26,12,0,0,2,0,0.1,13,9,2,2,4,1,0,0,9,3,3,0,2,4,0,2,0,0,0,3,2,3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,3,2,8,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,RCMF3,54,35,13,1,0,1,1,0.08,21,7,4,2,5,0,1,0,12,5,0,0,3,9,2,4,1,0,0,4,2,0,0,0,0,0,0,0,0,0,8,3,4,0,1,1,0,0,0,0,3,1,2,1,8,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - St John's Red Storm 2:0,United States. NCAA D1 Big East (W),2025-09-21,RAMF,55,34,10,1,0,1,1,0.12,7,4,2,0,0,0,1,0,19,5,1,0,3,10,3,3,3,0,0,7,2,4,3,0,0,1,3,0,0,0,7,0,2,0,1,1,0,0,0,0,2,0,0,0,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Maine Blackbears 3:1,United States. NCAA D1 Non-conference matches (W),2025-09-14,0,29,22,12,0,0,0,0,0,13,8,0,0,3,2,1,1,7,4,0,0,0,6,2,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,1,1,2,1,4,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
Yale Bulldogs - UCONN Huskies 0:1,United States. NCAA D1 Non-conference matches (W),2025-09-05,RAMF,31,21,7,0,0,0,0,0,9,4,0,0,1,0,0,0,8,2,1,0,0,6,1,2,2,0,0,2,1,2,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Brown Bears 0:1,United States. NCAA D1 Non-conference matches (W),2025-08-29,RAMF,57,33,12,0,0,0,0,0,16,7,0,0,3,0,1,0,16,5,0,0,0,12,2,2,2,0,0,12,5,2,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,2,0,12,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Texas A&M Aggies - UCONN Huskies 2:1,United States. NCAA D1 Non-conference matches (W),2025-08-24,RAMF,37,26,8,0,0,1,0,0.33,18,7,2,0,1,0,0,0,3,1,0,0,4,8,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,2,2,0,8,7,2,3,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Stony Brook Seawolves 1:0,United States. NCAA D1 Non-conference matches (W),2025-08-18,RAMF,29,15,4,0,0,1,0,0.01,4,0,0,0,1,0,1,0,9,4,1,1,1,7,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
