Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,RCB3,88,62,35,0,0,0,0,0,32,28,3,2,1,1,2,0,14,5,0,0,7,14,7,8,2,0,0,8,4,1,0,2,0,3,4,0,0,0,5,1,1,0,2,0,0,0,0,0,4,2,0,0,22,12,8,1,1,0,0,0,0,0,0,0,0,0,0,0
Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-26,RB,68,53,30,0,0,1,0,0,29,19,1,0,5,0,7,2,20,10,0,0,1,13,0,7,5,0,0,9,7,2,0,0,0,1,1,0,0,1,9,3,0,0,1,0,0,0,0.02,0,5,4,2,0,16,11,9,2,2,0,0,0,0,0,0,0,0,0,0,0
DePaul Blue Demons - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-22,RB,100,82,47,0,0,2,0,0.01,45,32,4,2,2,0,6,3,25,14,3,2,8,15,6,2,0,0,0,10,7,2,0,0,0,5,1,0,0,1,10,5,0,0,6,1,1,1,0,0,5,4,4,1,33,22,15,8,7,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),2025-10-18,RB,101,54,25,0,0,0,0,0,22,15,2,1,2,0,1,1,19,9,3,0,7,11,4,11,2,0,0,9,5,3,2,1,0,8,0,0,0,1,4,2,1,0,5,0,1,0,0.06,0,2,0,2,2,10,9,5,2,2,0,0,0,0,0,0,0,0,0,0,0
Butler Bulldogs - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),2025-10-16,RB,93,68,34,0,0,0,0,0,34,22,2,1,2,1,1,0,22,12,3,2,9,12,6,14,2,0,0,14,7,2,2,0,0,5,1,0,0,0,3,1,1,0,0,1,0,0,0,0,2,1,1,1,16,13,7,4,2,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Marquette Golden Eagles 2:2,United States. NCAA D1 Big East (W),2025-10-12,RB,102,54,42,0,0,0,0,0,33,26,0,0,0,0,0,0,19,15,2,2,3,11,5,9,6,0,0,11,11,2,1,1,1,1,0,0,0,0,4,1,0,0,3,2,0,0,0,0,8,6,4,4,23,14,10,8,7,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Creighton Bluejays 1:0,United States. NCAA D1 Big East (W),2025-10-05,RB,86,46,22,0,0,1,0,0,12,10,0,0,0,0,1,1,23,12,3,1,4,9,5,4,0,47,0,15,8,0,0,1,1,4,2,1,0,0,5,3,0,0,0,3,0,0,0,0,0,0,0,0,12,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0
Providence Friars - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-02,RB,74,50,29,0,0,1,0,0.02,27,21,4,3,1,0,2,1,14,7,2,1,3,8,4,8,0,0,0,5,4,2,1,0,0,1,0,0,0,0,5,1,0,0,3,0,0,0,0,0,3,2,1,1,17,13,10,7,6,0,0,0,0,0,0,1,1,0,0,0
Georgetown Hoyas - UCONN Huskies 2:0,United States. NCAA D1 Big East (W),2025-09-27,RB,61,39,22,0,0,0,0,0,20,10,2,0,0,0,0,0,14,12,1,0,3,11,6,10,1,0,0,12,11,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,0,15,9,2,3,2,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,RB,64,32,16,0,0,0,0,0,19,8,4,0,2,0,1,0,9,7,1,0,3,13,9,5,1,0,0,5,5,1,1,0,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2,0,2,0,11,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0
