Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,"LCMF, RCMF",55,35,19,0,0,2,0,0.26,19,14,3,0,0,0,0,0,9,5,3,3,5,12,2,7,5,0,0,2,1,1,1,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,1,0,13,6,2,3,3,0,0,0,0,0,0,1,1,0,0,0
Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-26,LDMF,47,40,23,0,0,0,0,0,17,13,1,1,1,0,2,1,15,10,1,0,3,7,5,11,3,0,0,6,6,0,0,0,0,1,0,0,0,0,8,4,0,0,1,2,0,0,0,0,2,2,1,0,7,6,3,6,5,0,0,0,0,0,0,0,0,0,0,0
DePaul Blue Demons - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-22,"LCMF, RCMF",48,28,17,0,0,0,0,0,17,12,4,2,0,0,1,1,9,4,3,1,3,6,2,10,4,0,0,2,2,1,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,3,2,1,0,5,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),2025-10-18,AMF,19,8,4,0,0,0,0,0,5,2,0,0,0,0,0,0,2,2,1,1,1,5,4,3,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Butler Bulldogs - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),2025-10-16,LW,27,10,4,0,0,0,0,0,7,4,1,0,0,0,0,0,1,0,1,0,3,3,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Marquette Golden Eagles 2:2,United States. NCAA D1 Big East (W),2025-10-12,"LCMF3, RCMF3",36,35,22,0,0,0,0,0,22,15,5,2,1,0,0,0,10,7,4,4,3,7,4,8,6,0,0,5,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,1,0,13,9,5,5,5,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Creighton Bluejays 1:0,United States. NCAA D1 Big East (W),2025-10-05,LCMF3,49,37,25,0,0,0,0,0,21,14,3,1,1,1,0,0,14,10,6,4,2,14,7,11,5,0,0,7,6,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.08,0,1,0,1,1,4,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Georgetown Hoyas - UCONN Huskies 2:0,United States. NCAA D1 Big East (W),2025-09-27,0,19,13,7,0,0,0,0,0,5,4,1,0,0,0,0,0,5,3,1,1,1,1,0,1,0,0,0,4,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,0,7,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - St John's Red Storm 2:0,United States. NCAA D1 Big East (W),2025-09-21,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Maine Blackbears 3:1,United States. NCAA D1 Non-conference matches (W),2025-09-14,LCB,45,27,15,0,0,0,0,0,11,8,2,2,0,0,1,1,10,7,1,1,1,5,2,1,1,0,0,7,5,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,2,1,0,0,0,0,0,0,1,1,0,0,0
Rhode Island Rhody - UCONN Huskies 0:2,United States. NCAA D1 Non-conference matches (W),2025-09-12,"DMF, LAMF",37,26,19,0,0,0,0,0,12,11,2,1,0,0,0,0,13,8,5,3,1,4,3,7,1,0,0,3,3,3,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,1,0,7,4,3,2,2,0,0,0,0,0,0,1,1,0,0,0
