Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,"LCB3, LWB",90,62,39,0,0,0,0,0,48,34,9,2,1,0,1,1,11,5,2,0,3,15,6,11,0,0,0,5,3,2,0,0,0,1,0,0,0,0,2,2,1,0,1,0,2,0,0,0,12,6,1,0,32,24,14,9,9,0,0,0,0,0,0,2,2,0,0,0
Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-26,LB,45,24,18,0,0,1,0,0.82,17,14,1,1,1,1,0,0,5,4,0,0,1,6,6,2,1,0,0,4,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,1,1,13,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler Bulldogs - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),2025-10-16,LB,79,46,22,0,0,0,0,0,27,15,6,1,0,0,1,1,13,7,0,0,4,14,5,10,0,0,0,8,6,1,0,0,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,5,1,0,0,14,12,5,3,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Marquette Golden Eagles 2:2,United States. NCAA D1 Big East (W),2025-10-12,LB,102,85,50,0,0,1,0,0.01,51,34,8,1,1,1,1,1,28,15,0,0,8,23,7,13,5,0,0,13,10,3,0,0,0,2,0,0,0,2,12,5,0,0,2,0,0,0,0.07,0,9,4,2,1,33,21,10,7,6,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Creighton Bluejays 1:0,United States. NCAA D1 Big East (W),2025-10-05,LB,103,58,31,0,0,0,0,0,24,17,1,0,0,0,1,1,28,13,6,3,2,18,6,12,5,0,0,15,6,2,1,0,0,1,2,0,0,0,5,3,3,0,1,2,0,0,0,0,0,0,0,0,9,9,6,4,4,0,0,0,0,0,0,0,0,0,0,0
Providence Friars - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-02,LB,95,79,49,0,0,0,0,0,48,33,5,1,3,1,7,5,19,12,2,1,9,22,11,10,6,0,0,7,5,0,0,0,0,2,0,0,0,0,10,6,0,0,6,2,0,0,0,0,6,4,5,2,26,19,11,4,4,0,0,0,0,0,0,0,0,0,0,0
Georgetown Hoyas - UCONN Huskies 2:0,United States. NCAA D1 Big East (W),2025-09-27,LB,83,64,39,0,0,1,0,0.11,41,32,3,3,0,0,0,0,16,7,1,1,5,13,9,12,2,0,0,10,5,3,1,0,0,3,0,0,0,1,2,0,1,0,2,0,0,0,0,0,5,3,1,1,24,27,20,5,4,0,0,0,0,0,0,1,1,0,0,0
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,"LB, LCB",90,42,20,0,0,0,0,0,23,14,6,4,0,0,2,1,16,6,2,0,6,19,9,7,0,0,0,7,5,1,0,0,0,3,0,0,0,0,6,1,0,0,0,0,0,0,0,0,4,0,1,0,5,16,9,1,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - St John's Red Storm 2:0,United States. NCAA D1 Big East (W),2025-09-21,LB,106,74,47,0,0,0,0,0,40,31,5,2,1,1,0,0,26,16,4,4,10,15,5,18,8,40,0,15,11,1,0,0,0,4,1,1,0,0,6,1,0,1,1,0,0,0,0,0,6,4,1,1,15,18,11,6,6,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Maine Blackbears 3:1,United States. NCAA D1 Non-conference matches (W),2025-09-14,LB,74,52,32,0,0,0,0,0,29,19,6,3,1,0,2,1,18,13,1,1,5,16,6,10,6,0,0,12,10,1,0,0,0,0,0,0,0,1,4,2,0,0,1,0,0,0,0.05,0,5,2,3,1,16,14,10,3,3,0,0,0,0,0,0,0,0,0,0,0
Rhode Island Rhody - UCONN Huskies 0:2,United States. NCAA D1 Non-conference matches (W),2025-09-12,LB,91,74,38,0,0,0,0,0,35,21,4,1,1,1,2,1,33,17,4,1,3,22,10,16,4,0,0,17,13,2,1,0,0,2,1,0,0,1,10,2,0,1,0,0,1,0,0.22,0,6,2,2,1,17,22,10,6,5,0,0,0,0,0,0,1,1,0,0,0
Yale Bulldogs - UCONN Huskies 0:1,United States. NCAA D1 Non-conference matches (W),2025-09-05,LB,91,56,35,0,0,1,1,0.07,33,21,4,0,0,0,2,1,16,11,0,0,6,16,9,12,3,0,0,11,8,2,2,0,0,2,0,0,0,0,3,1,1,0,1,1,0,0,0,0,2,1,0,0,12,25,14,1,1,0,0,0,0,0,0,0,0,0,0,0
Rutgers Scarlet Knights - UCONN Huskies 0:0,United States. NCAA D1 Non-conference matches (W),2025-08-31,LB,106,56,37,0,0,0,0,0,41,32,0,0,0,0,0,0,12,4,0,0,3,9,5,13,3,85,0,6,3,1,1,0,0,0,2,1,0,0,5,0,0,0,1,0,0,0,0,0,3,1,0,0,19,15,8,6,5,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Brown Bears 0:1,United States. NCAA D1 Non-conference matches (W),2025-08-29,LB,68,45,29,0,0,0,0,0,29,21,2,0,2,0,0,0,13,8,0,0,2,12,5,3,1,0,0,9,7,2,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,2,3,0,22,13,8,4,3,0,0,0,0,0,0,0,0,0,0,0
Texas A&M Aggies - UCONN Huskies 2:1,United States. NCAA D1 Non-conference matches (W),2025-08-24,LB,97,55,32,0,0,0,0,0,40,27,6,3,1,1,2,0,11,5,3,2,3,15,7,11,0,0,0,4,2,1,1,0,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,2,1,22,21,13,4,4,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Stony Brook Seawolves 1:0,United States. NCAA D1 Non-conference matches (W),2025-08-18,LB,80,63,37,0,0,0,0,0,41,28,2,1,3,0,4,3,16,7,4,2,1,17,1,8,4,0,0,3,0,1,0,0,0,0,2,0,0,0,8,5,2,0,4,0,0,0,0,0,9,2,3,0,23,13,7,5,4,0,0,0,0,0,0,0,0,0,0,0
