Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,"LWB, RWB",43,30,16,0,0,0,0,0,15,8,0,0,4,0,3,1,12,7,1,0,3,8,2,3,1,0,0,5,5,3,1,0,0,1,0,0,0,0,3,1,2,0,2,0,0,0,0,0,1,1,3,0,9,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0
Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-26,"LAMF, RAMF",52,48,25,0,0,1,0,0,22,15,2,0,7,2,7,2,23,10,3,3,0,11,0,8,8,0,0,7,4,2,1,0,0,1,1,0,0,1,11,2,1,0,0,1,1,0,0.01,0,1,1,5,1,9,4,3,6,5,0,0,0,0,0,0,0,0,0,0,0
DePaul Blue Demons - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-22,LW,32,28,10,0,0,1,1,0.1,10,6,1,1,1,0,1,0,14,3,0,0,0,8,1,3,3,0,0,2,1,2,0,0,0,0,1,0,0,0,10,2,1,0,0,1,0,0,0,0,0,0,2,0,4,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),2025-10-18,RAMF,38,23,6,0,0,1,1,0.06,11,5,1,1,0,0,1,0,9,0,2,0,2,8,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,1,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Butler Bulldogs - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),2025-10-16,RW,27,17,10,0,0,0,0,0,7,5,0,0,0,0,2,1,8,5,2,1,1,6,1,2,1,0,0,3,2,1,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,4,2,0,0,5,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Marquette Golden Eagles 2:2,United States. NCAA D1 Big East (W),2025-10-12,RWF,42,38,25,0,0,2,1,0.05,15,9,4,2,1,0,3,2,18,15,4,4,2,5,0,5,3,0,0,7,6,0,0,0,0,0,0,0,0,0,7,5,1,1,0,1,0,0,0,0,4,2,1,0,10,8,5,2,2,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Creighton Bluejays 1:0,United States. NCAA D1 Big East (W),2025-10-05,AMF,30,25,11,0,0,0,0,0,10,6,0,0,2,0,2,1,12,5,4,1,1,7,2,4,3,0,0,2,2,1,1,0,0,1,0,0,0,0,5,1,0,1,0,0,0,0,0,0,2,0,2,0,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Rhode Island Rhody - UCONN Huskies 0:2,United States. NCAA D1 Non-conference matches (W),2025-09-12,RAMF,27,20,12,0,0,0,0,0,14,9,0,0,0,0,2,0,6,3,1,0,0,8,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,1,1,0,0,10,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Texas A&M Aggies - UCONN Huskies 2:1,United States. NCAA D1 Non-conference matches (W),2025-08-24,RAMF,32,21,6,0,0,0,0,0,9,1,0,0,4,1,1,1,12,5,1,0,0,6,1,0,0,0,0,5,4,1,0,0,0,1,0,0,0,0,5,1,0,0,1,0,0,0,0,0,2,0,3,1,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Stony Brook Seawolves 1:0,United States. NCAA D1 Non-conference matches (W),2025-08-18,"LAMF, RW",59,43,18,0,0,0,0,0,22,9,1,0,6,1,7,5,18,9,3,1,3,18,4,2,2,0,0,3,3,0,0,0,0,0,0,0,0,1,12,5,1,0,0,1,0,0,0.07,0,1,1,5,1,8,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0
