Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,"LCB3, LWB",79,46,30,0,0,0,0,0,31,25,6,3,0,0,0,0,7,4,2,1,5,13,6,6,1,0,0,4,2,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,19,13,9,2,2,0,0,0,0,0,0,2,2,0,0,0
Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-26,LCB,96,66,46,0,0,1,0,0,54,41,15,11,0,0,0,0,9,3,3,1,3,13,7,10,1,0,0,2,1,2,1,0,0,2,0,0,0,2,2,0,1,0,1,0,0,0,0.21,0,8,5,0,0,30,30,18,1,1,0,0,0,0,0,0,1,1,0,0,0
DePaul Blue Demons - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-22,LCB,100,60,46,0,0,0,0,0,48,40,11,7,0,0,0,0,7,5,2,1,2,7,4,6,0,0,0,5,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,30,18,13,3,3,0,0,0,0,0,0,2,2,0,0,0
UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),2025-10-18,LCB,101,57,36,0,0,0,0,0,35,27,9,7,0,0,0,0,11,8,4,1,5,9,9,11,1,0,0,6,6,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,3,0,0,14,21,16,2,2,0,0,0,0,0,0,2,2,0,0,0
Butler Bulldogs - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),2025-10-16,LCB,100,52,39,0,0,0,0,0,39,32,8,6,0,0,0,0,8,7,0,0,4,7,5,7,0,0,0,6,6,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,20,14,5,4,0,0,0,0,0,0,2,2,0,0,0
UCONN Huskies - Marquette Golden Eagles 2:2,United States. NCAA D1 Big East (W),2025-10-12,LCB,102,62,49,0,0,0,0,0,55,46,12,8,0,0,0,0,3,3,2,2,4,8,4,11,2,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,32,18,14,2,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Creighton Bluejays 1:0,United States. NCAA D1 Big East (W),2025-10-05,RCB,103,79,57,0,0,0,0,0,46,38,10,4,1,1,0,0,15,8,10,5,7,10,6,16,1,0,0,5,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,35,28,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Providence Friars - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-02,RCB,95,63,40,0,0,1,1,0.07,41,32,12,5,0,0,1,1,7,4,1,1,6,13,10,10,3,47,0,4,2,1,0,0,0,6,1,1,0,0,1,1,1,0,1,1,0,0,0,0,9,5,0,0,25,32,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgetown Hoyas - UCONN Huskies 2:0,United States. NCAA D1 Big East (W),2025-09-27,"LDMF, RB",95,75,47,0,0,0,0,0,50,37,7,4,0,0,0,0,19,10,2,1,8,13,4,11,2,0,0,11,9,4,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,5,2,0,0,30,21,12,10,10,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,"LB, RB",79,47,18,0,0,0,0,0,22,10,7,4,1,0,0,0,20,8,3,2,3,18,9,8,3,0,0,9,5,5,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,2,0,8,12,5,1,1,0,0,0,0,0,0,0,0,0,0,0
