Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,LCMF,50,37,24,0,0,0,0,0,20,15,2,1,1,1,4,1,16,9,1,0,1,10,2,6,4,0,0,8,8,1,0,0,0,1,0,0,0,0,6,1,1,0,0,0,0,0,0,0,8,4,1,1,6,8,5,2,2,0,0,0,0,0,0,0,0,0,0,0
Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-26,"LDMF, RDMF",73,42,22,0,0,0,0,0,20,14,5,2,4,3,1,1,15,6,6,4,2,12,2,10,8,0,0,2,0,2,1,0,0,1,2,0,0,4,5,1,2,0,2,1,2,1,0.3,0,1,1,6,4,9,6,4,6,6,0,0,0,0,0,0,0,0,0,0,0
DePaul Blue Demons - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-22,LCMF,58,44,22,0,1,0,0,0,19,14,3,2,0,0,0,0,19,8,3,0,1,8,3,7,3,0,0,5,3,6,3,0,0,2,2,0,0,2,5,2,1,0,1,1,0,0,0.28,0,4,3,0,0,12,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),2025-10-18,LDMF,72,38,27,0,1,0,0,0,22,17,3,2,1,0,2,2,12,9,2,2,4,8,3,8,4,0,0,6,4,0,0,0,0,0,1,0,0,2,4,3,2,0,2,1,0,0,0.13,0,2,1,1,0,7,8,7,3,3,0,0,0,0,0,0,0,0,0,0,0
Butler Bulldogs - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),2025-10-16,LW,73,39,23,0,0,0,0,0,20,13,4,2,0,0,0,0,17,10,3,1,4,7,2,3,2,0,0,11,8,1,0,0,0,1,0,0,0,1,2,1,0,0,0,1,1,0,0.08,0,5,2,0,0,7,7,4,4,4,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Marquette Golden Eagles 2:2,United States. NCAA D1 Big East (W),2025-10-12,RCMF3,62,42,25,0,0,1,1,0.02,18,16,1,0,0,0,1,1,17,8,5,2,4,9,3,5,4,0,0,6,3,1,0,0,0,0,1,0,0,1,5,3,1,0,1,0,0,0,0.01,0,2,2,1,1,8,6,5,7,7,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Creighton Bluejays 1:0,United States. NCAA D1 Big East (W),2025-10-05,LCMF3,57,28,13,0,0,1,0,0.01,10,6,2,0,2,0,3,3,15,7,4,2,1,8,1,4,4,0,0,2,2,1,0,0,0,1,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Providence Friars - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-02,LDMF,59,24,10,0,0,0,0,0,11,7,2,2,0,0,1,1,9,3,2,0,2,6,3,2,1,0,0,6,2,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,3,2,0,0,7,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Georgetown Hoyas - UCONN Huskies 2:0,United States. NCAA D1 Big East (W),2025-09-27,"AMF, LDMF",62,39,16,0,0,1,0,0.02,20,9,6,2,0,0,0,0,14,7,3,0,4,14,5,6,4,0,0,7,6,1,0,0,0,1,0,0,0,1,3,1,0,0,1,1,0,0,0.15,0,4,1,1,0,10,13,4,3,2,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,LCMF3,71,50,25,0,0,0,0,0,20,12,8,3,0,0,1,0,23,12,1,1,5,10,3,12,5,0,0,12,8,5,3,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,5,2,3,1,8,11,6,1,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - St John's Red Storm 2:0,United States. NCAA D1 Big East (W),2025-09-21,LDMF,56,37,17,0,1,0,0,0,20,10,6,2,0,0,0,0,12,7,1,0,6,12,3,6,5,0,0,6,5,1,0,1,1,0,0,0,0,2,4,2,0,0,0,1,1,1,0.52,0,3,1,1,1,12,9,2,4,3,0,0,0,0,0,0,1,1,0,0,0
UCONN Huskies - Maine Blackbears 3:1,United States. NCAA D1 Non-conference matches (W),2025-09-14,"AMF, LDMF",53,32,18,0,0,0,0,0,17,12,1,1,1,0,1,1,10,6,0,0,4,10,2,5,3,0,0,4,4,0,0,0,0,0,0,0,0,1,6,2,1,0,0,0,0,0,0.06,0,2,1,1,1,10,5,3,4,4,0,0,0,0,0,0,0,0,0,0,0
Rhode Island Rhody - UCONN Huskies 0:2,United States. NCAA D1 Non-conference matches (W),2025-09-12,"AMF, RAMF",73,42,23,0,0,1,0,0.03,24,15,3,2,2,0,3,1,17,8,7,3,2,13,5,11,5,0,0,3,2,0,0,0,0,0,0,0,0,1,7,3,1,0,0,0,0,0,0.35,0,3,2,0,0,10,10,6,2,1,0,0,0,0,0,0,0,0,0,0,0
Yale Bulldogs - UCONN Huskies 0:1,United States. NCAA D1 Non-conference matches (W),2025-09-05,"AMF, LDMF",84,46,29,0,0,0,0,0,22,18,1,0,0,0,1,0,18,11,2,1,4,8,3,8,4,0,0,8,6,3,2,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0.01,0,2,1,0,0,11,9,7,3,3,0,0,0,0,0,0,0,0,0,0,0
Rutgers Scarlet Knights - UCONN Huskies 0:0,United States. NCAA D1 Non-conference matches (W),2025-08-31,LCMF3,48,38,25,0,0,0,0,0,26,20,6,4,1,0,0,0,11,5,1,0,1,4,1,6,2,0,0,9,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,6,3,3,1,14,8,4,6,6,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Brown Bears 0:1,United States. NCAA D1 Non-conference matches (W),2025-08-29,AMF,78,56,31,0,0,0,0,0,27,22,1,0,3,1,1,1,18,9,7,2,2,13,8,5,3,0,0,5,4,2,1,0,0,0,1,0,0,2,4,2,0,0,0,0,0,0,0.22,0,4,3,3,1,13,5,4,7,7,0,0,0,0,0,0,0,0,0,0,0
Texas A&M Aggies - UCONN Huskies 2:1,United States. NCAA D1 Non-conference matches (W),2025-08-24,AMF,76,34,26,0,0,0,0,0,21,17,3,1,0,0,0,0,11,9,2,2,3,5,3,6,4,0,0,5,4,3,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,2,1,0,12,6,3,7,6,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Stony Brook Seawolves 1:0,United States. NCAA D1 Non-conference matches (W),2025-08-18,RDMF,61,25,12,0,0,0,0,0,13,10,0,0,1,0,0,0,7,2,3,1,3,4,3,7,3,0,0,1,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
