Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,CF,40,33,19,0,0,0,0,0,14,11,2,0,0,0,0,0,16,7,10,6,2,7,2,2,2,0,0,2,1,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,1,1,0,6,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0
Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-26,CF,53,46,17,1,0,2,1,0.37,12,7,1,1,0,0,2,1,25,9,11,6,1,11,3,2,0,0,0,2,1,5,1,0,0,2,3,0,0,0,7,1,4,0,0,0,0,0,0,0,0,0,1,0,12,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0
DePaul Blue Demons - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-22,CF,58,53,23,0,0,1,0,0.05,19,13,0,0,0,0,0,0,24,10,11,7,4,16,5,7,3,0,0,5,3,2,0,0,0,1,2,0,0,0,6,0,1,0,0,0,0,0,0,0,3,3,0,0,8,3,1,5,4,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),2025-10-18,CF,56,55,28,0,0,4,2,0.34,30,21,1,1,0,0,3,0,19,5,8,3,0,17,7,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,8,1,3,0,0,1,0,0,0,0,4,3,3,0,21,10,4,5,5,0,0,0,0,0,0,0,0,0,0,0
Butler Bulldogs - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),2025-10-16,RW,73,52,26,0,1,3,0,0.22,22,16,1,0,0,0,1,0,22,10,4,3,5,15,3,5,4,0,0,4,3,3,2,0,0,0,0,0,0,1,11,2,5,0,0,1,0,0,0.45,0,1,0,0,0,7,5,2,7,7,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Marquette Golden Eagles 2:2,United States. NCAA D1 Big East (W),2025-10-12,CF,60,41,20,0,0,4,1,1.22,15,9,0,0,0,0,0,0,20,10,12,6,3,13,4,4,3,0,0,2,1,3,2,0,0,1,1,0,0,0,3,1,4,0,0,1,0,0,0,0,0,0,1,0,8,5,1,5,5,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Creighton Bluejays 1:0,United States. NCAA D1 Big East (W),2025-10-05,CF,49,44,20,0,0,2,1,0.12,17,9,0,0,0,0,1,0,24,10,8,4,0,15,3,2,2,0,0,5,4,0,0,0,0,0,1,0,0,0,11,2,1,0,0,0,0,0,0,0,1,1,1,0,6,6,5,2,1,0,0,0,0,0,0,0,0,0,0,0
Providence Friars - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-02,CF,49,40,18,0,0,0,0,0,21,11,2,0,1,0,2,0,18,7,7,4,1,20,5,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,2,0,1,0,10,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0
Georgetown Hoyas - UCONN Huskies 2:0,United States. NCAA D1 Big East (W),2025-09-27,CF,53,50,24,0,0,1,0,0.15,24,16,2,0,0,0,0,0,22,8,11,5,1,19,9,1,1,0,0,3,3,1,0,0,0,0,1,0,0,1,7,0,2,0,0,0,2,0,0.02,0,4,2,2,0,14,10,5,8,5,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,CF,9,6,2,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - St John's Red Storm 2:0,United States. NCAA D1 Big East (W),2025-09-21,CF,21,20,8,0,0,2,1,1.22,8,6,1,0,0,0,0,0,9,1,5,1,3,5,1,2,2,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Maine Blackbears 3:1,United States. NCAA D1 Non-conference matches (W),2025-09-14,CF,51,43,20,1,0,3,2,0.34,22,12,2,1,0,0,0,0,16,6,7,4,0,12,0,3,3,0,0,1,1,2,1,0,0,1,0,0,0,0,6,0,3,0,2,0,0,0,0,0,5,2,1,0,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island Rhody - UCONN Huskies 0:2,United States. NCAA D1 Non-conference matches (W),2025-09-12,AMF,26,35,12,0,0,2,1,0.07,8,2,0,0,1,0,4,2,22,9,9,5,1,15,1,0,0,0,0,1,1,6,1,0,0,0,2,0,0,0,6,2,2,0,0,0,0,0,0,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yale Bulldogs - UCONN Huskies 0:1,United States. NCAA D1 Non-conference matches (W),2025-09-05,CF,21,11,3,0,0,0,0,0,4,3,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Rutgers Scarlet Knights - UCONN Huskies 0:0,United States. NCAA D1 Non-conference matches (W),2025-08-31,CF,61,44,22,0,0,0,0,0,22,13,3,1,1,0,0,0,18,9,10,6,1,12,3,1,0,0,0,3,2,1,0,0,0,1,2,0,0,1,4,1,2,1,0,0,0,0,0,0,4,1,0,0,12,10,4,4,4,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Brown Bears 0:1,United States. NCAA D1 Non-conference matches (W),2025-08-29,CF,19,13,8,0,0,0,0,0,8,5,0,0,0,0,0,0,4,3,0,0,0,5,1,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas A&M Aggies - UCONN Huskies 2:1,United States. NCAA D1 Non-conference matches (W),2025-08-24,"AMF, CF",26,14,9,0,0,1,0,0.08,6,5,0,0,0,0,0,0,7,4,3,2,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Stony Brook Seawolves 1:0,United States. NCAA D1 Non-conference matches (W),2025-08-18,"AMF, CF",56,33,17,0,0,2,1,0.05,19,15,0,0,0,0,0,0,11,1,5,1,1,8,0,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,3,2,0,0,12,4,4,6,6,0,0,0,0,0,0,0,0,0,0,0
