Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,AMF,47,19,12,0,0,0,0,0,8,6,0,0,0,0,3,2,8,6,1,1,1,3,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,0,0,0,0,1,0,0,0,3,3,2,4,4,0,0,0,0,0,0,0,0,0,0,0
Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-26,RAMF,27,35,15,0,0,0,0,0,11,6,0,0,5,1,6,2,22,9,3,2,1,5,0,2,2,0,0,2,1,2,1,0,0,0,1,0,0,0,15,5,2,0,2,1,0,0,0,0,1,1,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
DePaul Blue Demons - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-22,"LW, RW",71,62,29,0,0,4,2,0.26,19,11,2,1,5,0,6,5,31,15,6,3,2,11,2,6,3,0,0,8,6,3,1,0,0,0,2,0,0,0,14,5,4,1,2,0,0,0,0,0,0,0,1,0,10,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),2025-10-18,"LAMF, RAMF",67,42,27,2,0,5,4,1.36,17,15,0,0,1,1,3,0,17,8,5,3,6,10,0,6,5,0,0,3,1,5,4,0,0,0,0,0,0,1,4,0,7,0,2,0,1,0,0,0,1,1,1,1,14,4,3,6,5,0,0,0,0,0,0,0,0,0,0,0
Butler Bulldogs - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),2025-10-16,CF,77,52,24,1,0,1,1,0.11,20,13,1,1,4,1,6,4,24,10,0,0,3,15,4,6,4,0,0,5,4,3,1,0,0,0,1,0,0,1,16,5,2,2,3,0,0,0,0.06,1,4,3,4,3,13,8,5,3,2,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Marquette Golden Eagles 2:2,United States. NCAA D1 Big East (W),2025-10-12,"LWF, RWF",74,52,29,0,1,2,1,0.11,17,11,0,0,4,1,6,4,31,17,3,2,1,9,3,2,2,0,0,10,9,4,0,1,1,1,1,0,0,3,14,6,4,0,1,0,0,0,0.71,0,1,1,4,1,10,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Creighton Bluejays 1:0,United States. NCAA D1 Big East (W),2025-10-05,AMF,73,56,25,0,0,4,1,0.28,16,9,1,0,1,1,7,4,34,15,7,3,1,12,3,5,3,0,0,6,4,2,0,0,0,0,0,0,0,0,19,8,4,0,2,1,0,0,0,0,2,0,1,0,6,4,0,6,5,0,0,0,0,0,0,0,0,0,0,0
Providence Friars - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-02,"LAMF, RAMF",76,44,26,0,0,3,1,0.89,19,14,0,0,0,0,0,0,17,11,2,2,1,3,1,4,2,92,0,8,6,5,3,1,0,0,2,1,0,0,2,0,3,1,1,0,0,0,0,0,1,0,2,1,18,3,2,10,8,0,0,0,0,0,0,0,0,0,0,0
Georgetown Hoyas - UCONN Huskies 2:0,United States. NCAA D1 Big East (W),2025-09-27,AMF,47,25,12,0,0,0,0,0,10,5,1,0,0,0,1,1,12,7,4,0,2,7,3,3,1,0,0,3,3,0,0,0,0,0,0,0,0,0,5,4,1,0,0,1,0,0,0,0,3,0,1,0,6,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,"AMF, RCMF3",81,37,19,0,1,0,0,0,13,8,1,0,0,0,1,1,19,10,4,2,5,11,4,5,1,0,0,6,2,2,1,1,1,0,0,0,0,1,7,5,0,0,2,2,0,0,0.08,0,4,1,1,1,5,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0
