Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,RCMF,86,70,39,0,0,0,0,0,36,25,11,3,0,0,0,0,23,14,3,1,13,18,9,19,9,0,0,7,6,6,3,0,0,2,2,0,0,0,7,4,0,0,0,5,2,1,0,0,11,4,0,0,22,19,8,2,2,0,0,0,0,0,0,0,0,0,0,0
Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-26,"LDMF, RDMF",72,54,32,0,0,3,1,0.18,30,20,5,0,0,0,0,0,18,11,6,3,0,10,3,17,9,0,0,1,1,7,5,0,0,1,1,0,0,0,4,2,1,0,0,2,0,0,0,0,10,5,0,0,13,17,11,3,3,0,0,0,0,0,0,0,0,0,0,0
DePaul Blue Demons - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-22,DMF,100,77,50,0,0,0,0,0,46,33,10,4,0,0,1,1,26,17,14,9,10,13,5,21,13,65,0,3,2,2,1,0,0,1,1,1,0,1,7,5,0,0,1,3,0,0,0,0,16,10,0,0,22,19,9,5,5,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),2025-10-18,RDMF,101,64,30,0,0,2,0,0.2,32,21,9,3,0,0,0,0,22,9,12,5,8,12,7,13,3,0,0,3,1,3,1,1,0,6,2,0,0,0,4,2,1,0,0,3,1,1,0,0,7,3,2,0,15,16,11,5,5,0,0,0,0,0,0,1,1,0,0,0
Butler Bulldogs - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),2025-10-16,RCMF,100,70,41,0,0,0,0,0,35,24,8,3,1,0,3,3,28,16,6,3,4,10,2,13,7,0,0,8,3,7,5,0,0,1,1,0,0,0,7,5,1,1,1,2,1,0,0,0,10,4,1,0,18,15,9,6,6,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Marquette Golden Eagles 2:2,United States. NCAA D1 Big East (W),2025-10-12,DMF,102,93,58,0,0,2,0,0.26,53,39,14,7,1,0,1,1,30,19,9,3,12,20,5,23,11,0,0,8,7,5,4,0,0,7,2,0,0,2,8,5,1,0,1,2,1,1,0.11,0,13,10,2,2,20,22,15,9,8,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Creighton Bluejays 1:0,United States. NCAA D1 Big East (W),2025-10-05,RCMF3,103,83,46,0,0,2,0,0.02,44,27,11,4,0,0,0,0,28,18,14,9,6,19,9,16,6,0,0,6,5,2,1,0,0,6,0,0,0,0,6,3,0,0,2,2,0,0,0,0,13,7,2,1,22,23,12,5,4,0,0,0,0,0,0,0,0,0,0,0
Providence Friars - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-02,RDMF,95,59,32,0,0,0,0,0,38,24,9,3,0,0,0,0,16,8,5,3,5,20,6,11,2,0,0,7,3,3,1,1,0,3,2,0,0,0,1,1,0,0,0,1,0,0,0,0,7,1,0,0,18,14,5,6,5,0,0,0,0,0,0,0,0,0,0,0
Georgetown Hoyas - UCONN Huskies 2:0,United States. NCAA D1 Big East (W),2025-09-27,RDMF,95,71,33,0,0,0,0,0,33,21,9,3,0,0,0,0,25,11,6,2,6,22,13,12,1,0,0,7,6,3,1,0,0,5,1,0,0,0,9,2,0,0,0,1,0,0,0,0,6,1,0,0,13,15,7,7,7,0,0,0,0,0,0,1,1,0,0,0
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,DMF,98,86,49,0,0,1,0,0.03,48,29,17,5,1,0,0,0,27,18,12,8,9,24,6,24,8,0,0,8,7,3,2,1,1,3,2,0,0,0,4,1,1,1,0,0,0,0,0,0,11,5,3,1,13,25,11,7,6,0,0,0,0,0,0,0,0,0,0,0
